  RUN# SR_TYPE   PARM 1         PARM 2         STD. DEV.    RHO          Last Residual
  106      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  107      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  108      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  109      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  110      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  111      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  112      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  113      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  114      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  115      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  116      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  117      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  118      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  119      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  120      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  121      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  122      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  123      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  124      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  125      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  126      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  127      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  128      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  129      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  130      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  131      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  132      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  133      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  134      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  135      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  136      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  137      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  138      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  139      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  140      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  141      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  142      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  143      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  144      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  145      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  146      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  147      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  148      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  149      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  150      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  151      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  152      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  153      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  154      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  155      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  156      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  157      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  158      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  159      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  160      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  161      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  162      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  163      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  164      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  165      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  166      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  167      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  168      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  169      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  170      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  171      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  172      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
